name,ccode,Type,pcode,value,size,population,medium2020,medium2100,high2020,high2100,low2020,low2100,fert2020,fert2100,mort2020,mort2100
Turkey,792,Country/Area,922,1000,5,84339,84339,86170,84339,126660,84339,56048,84339,109200,84339,72200
Turkmenistan,795,Country/Area,5500,1000,5,6031,6031,8421,6031,12523,6031,5384,6031,14520,6031,7299
Turks and Caicos Islands,796,Country/Area,915,1000,5,39,39,54,39,74,39,38,39,58,39,47
Tuvalu,798,Country/Area,957,1000,5,12,12,20,12,30,12,13,12,36,12,17
Uganda,800,Country/Area,910,1000,5,45741,45741,136785,45741,193087,45741,93795,45741,587140,45741,105699
Ukraine,804,Country/Area,923,1000,5,43734,43734,24413,43734,37484,43734,14897,43734,21356,43734,20513
North Macedonia,807,Country/Area,925,1000,5,2083,2083,1249,2083,1914,2083,757,2083,1179,2083,1061
Egypt,818,Country/Area,912,1000,5,102334,102334,224735,102334,321835,102334,151976,102334,431296,102334,196605
United Kingdom,826,Country/Area,924,1000,5,67886,67886,78053,67886,108548,67886,54936,67886,76931,67886,70078
Channel Islands,830,Country/Area,924,1000,5,174,174,223,174,300,174,163,174,203,174,201
Isle of Man,833,Country/Area,924,1000,5,85,85,96,85,132,85,69,85,90,85,86
United Republic of Tanzania,834,Country/Area,910,1000,5,59734,59734,285652,59734,388290,59734,204825,59734,737065,59734,229681
United States of America,840,Country/Area,918,1000,5,331003,331003,433854,331003,600212,331003,307295,331003,424705,331003,389471
United States Virgin Islands,850,Country/Area,915,1000,5,104,104,40,104,71,104,20,104,53,104,32
Burkina Faso,854,Country/Area,914,1000,5,20903,20903,83194,20903,113262,20903,59429,20903,267742,20903,61277
Uruguay,858,Country/Area,931,1000,5,3474,3474,3182,3474,4761,3474,2035,3474,3695,3474,2768
Uzbekistan,860,Country/Area,5500,1000,5,33469,33469,42271,33469,64916,33469,26301,33469,64673,33469,36990
Venezuela (Bolivarian Republic of),862,Country/Area,931,1000,5,28436,28436,34241,28436,52856,28436,21206,28436,49225,28436,29297
Wallis and Futuna Islands,876,Country/Area,957,1000,5,11,11,6,11,9,11,3,11,6,11,5
Samoa,882,Country/Area,957,1000,5,198,198,310,198,453,198,199,198,686,198,272
Yemen,887,Country/Area,922,1000,5,29826,29826,53171,29826,77580,29826,34838,29826,167932,29826,45343
Zambia,894,Country/Area,910,1000,5,18384,18384,81546,18384,110966,18384,58327,18384,193543,18384,65806
Eastern Asia,906,Subregion,1832,1000,5,1678090,7794799,10875394,7794799,15600369,7794799,7322116,7794799,21632737,7794799,8924237
Eastern Africa,910,Subregion,947,1000,5,445406,1678090,1222593,1678090,1810055,1678090,789028,1678090,1143473,1678090,1042888
Middle Africa,911,Subregion,947,1000,5,179595,445406,1451842,445406,2018641,445406,1014298,445406,4285085,445406,1139215
Northern Africa,912,Subregion,1833,1000,5,246233,179595,746061,179595,1006811,179595,538910,179595,2655994,179595,579570
Southern Africa,913,Subregion,947,1000,5,67504,246233,504858,246233,709089,246233,348273,246233,971992,246233,431990
Western Africa,914,Subregion,947,1000,5,401861,67504,93571,67504,141060,67504,59295,67504,146117,67504,75347
Caribbean,915,Subregion,1830,1000,5,43532,401861,1483796,401861,2002818,401861,1070264,401861,4617843,401861,1098811
Central America,916,Subregion,1830,1000,5,179670,43532,38838,43532,59818,43532,23801,43532,59795,43532,31974
EUROPE,917,SDG subregion,1829,1000,5,747636,179670,211854,179670,318173,179670,135235,179670,308847,179670,180264
NORTHERN AMERICA,918,SDG subregion,1829,1000,5,368870,747636,629563,747636,896490,747636,427504,747636,595884,747636,553369
South-Eastern Asia,920,Subregion,1832,1000,5,668620,368870,490889,368870,676015,368870,349671,368870,479538,368870,441177
Cen & Sou Asia,921,SDG region,1828,1000,5,2014709,668620,744215,668620,1109909,668620,476871,668620,1021146,668620,629694
Western Asia,922,Subregion,1833,1000,5,279637,2014709,2330130,2014709,3500090,2014709,1475392,2014709,3918825,2014709,1923947
Eastern Europe,923,Subregion,917,1000,5,293013,279637,422969,279637,607101,279637,284469,279637,786065,279637,364733
Northern Europe,924,Subregion,917,1000,5,106261,293013,219456,293013,321603,293013,143007,293013,206573,293013,188474
Southern Europe,925,Subregion,917,1000,5,152215,106261,121044,106261,168045,106261,85341,106261,119689,106261,108591
Western Europe,926,Subregion,917,1000,5,196146,152215,99758,152215,143215,152215,66794,152215,87425,152215,87202
AUS & NZ,927,SDG region,1828,1000,5,30322,196146,189304,196146,263627,196146,132363,196146,182196,196146,169103
Melanesia,928,Subregion,1835,1000,5,11123,30322,48885,30322,65254,30322,36109,30322,52107,30322,44515
South America,931,Subregion,1830,1000,5,430760,11123,24583,11123,34688,11123,16784,11123,49206,11123,20783
SAHARAN AFRICA,947,SDG region,1828,1000,5,1094366,430760,429301,430760,642197,430760,275303,430760,538245,430760,364722
Micronesia,954,Subregion,1835,1000,5,549,1094366,3775270,1094366,5169329,1094366,2682767,1094366,11705038,1094366,2892942
Polynesia,957,Subregion,1835,1000,5,684,549,659,549,984,549,414,549,1158,549,555
WORLD,1828,World,0,1000,5,0,684,789,684,1177,684,495,684,1419,684,682
EU & NA,1829,SDG region,1828,1000,5,1116506,1116506,1120451,1116506,1572504,1116506,777175,1116506,1075422,1116506,994547
LA & Carribean,1830,SDG region,1828,1000,5,653962,653962,679993,653962,1020188,653962,434339,653962,906886,653962,576960
E and SE Asia,1832,SDG region,1828,1000,5,2346709,2346709,1966808,2346709,2919964,2346709,1265899,2346709,2164618,2346709,1672583
N AFRICA AND W ASIA,1833,SDG region,1828,1000,5,525869,525869,927827,525869,1316191,525869,632742,525869,1758057,525869,796723
OCEANIA,1835,SDG region,1828,1000,5,12356,12356,26030,12356,36849,12356,17693,12356,51783,12356,22021
